Rep,Model,Trait,Component,MeanVar,DIC,runtime_sec
3,16,GY,GAK,17988.11989062155,6851.328224603196,46.922449827194214
3,16,GY,GAKE,174.52845355153534,6851.328224603196,46.922449827194214
3,16,GY,GAKW,1636.8002914790995,6851.328224603196,46.922449827194214
3,17,GY,Residual,260.7738773281061,8393.824831873599,73.14741802215576
3,17,GY,E,1897.399339979415,8393.824831873599,73.14741802215576
3,17,GY,W,1.4211405985838954,8393.824831873599,73.14741802215576
3,17,GY,PAK,6093.7616711175915,8393.824831873599,73.14741802215576
3,17,GY,PAKE,84.73537199940507,8393.824831873599,73.14741802215576
3,17,GY,PAKW,261.6863308270223,8393.824831873599,73.14741802215576
3,18,GY,Residual,46.03434740080378,6835.801393417967,116.75492215156555
3,18,GY,E,504.5391866090162,6835.801393417967,116.75492215156555
3,18,GY,W,0.7880996617614341,6835.801393417967,116.75492215156555
3,18,GY,GAK,17654.971608736585,6835.801393417967,116.75492215156555
3,18,GY,PAK,76.47138802038172,6835.801393417967,116.75492215156555
3,18,GY,GAKE,105.36955173866468,6835.801393417967,116.75492215156555
3,18,GY,PAKE,43.84784222587121,6835.801393417967,116.75492215156555
3,18,GY,GAKW,1605.7129568775795,6835.801393417967,116.75492215156555
3,18,GY,PAKW,103.11265286672497,6835.801393417967,116.75492215156555
3,2,GY,Residual,49.53968398686938,6955.968458112307,44.68209791183472
3,2,GY,E,1438.1805645649401,6955.968458112307,44.68209791183472
3,2,GY,P,140989533.84206188,6955.968458112307,44.68209791183472
3,2,GY,PE,217.49518798592302,6955.968458112307,44.68209791183472
3,3,GY,Residual,46.344928849306726,6859.136344185315,28.78280997276306
3,3,GY,E,995.2028760422579,6859.136344185315,28.78280997276306
3,3,GY,GGK,1084.6101656056342,6859.136344185315,28.78280997276306
3,3,GY,GGKE,81.30624908686372,6859.136344185315,28.78280997276306
3,4,GY,Residual,190.76910821199553,8339.765313923326,30.1723530292511
3,4,GY,E,1231.7593192108322,8339.765313923326,30.1723530292511
3,4,GY,PGK,137.2441285974356,8339.765313923326,30.1723530292511
3,4,GY,PGKE,62.79258908345414,8339.765313923326,30.1723530292511
3,5,GY,Residual,52.84200284801656,6922.270142292066,22.415458917617798
3,5,GY,E,1284.5445143231036,6922.270142292066,22.415458917617798
3,5,GY,GAK,18343.733842410085,6922.270142292066,22.415458917617798
3,5,GY,GAKE,325.43221081335844,6922.270142292066,22.415458917617798
3,6,GY,Residual,259.73744552867055,8389.13427845635,31.369040966033936
3,6,GY,E,1300.118888077094,8389.13427845635,31.369040966033936
3,6,GY,PAK,6259.546205441473,8389.13427845635,31.369040966033936
3,6,GY,PAKE,103.33664297475201,8389.13427845635,31.369040966033936
3,7,GY,Residual,40.297778988017264,6773.449350335086,73.11112403869629
3,7,GY,E,1042.3987400480778,6773.449350335086,73.11112403869629
3,7,GY,G,158.28382077025208,6773.449350335086,73.11112403869629
3,7,GY,P,333718.053116839,6773.449350335086,73.11112403869629
3,7,GY,GE,19.596775728674853,6773.449350335086,73.11112403869629
3,7,GY,PE,110.12826132842277,6773.449350335086,73.11112403869629
3,8,GY,Residual,41.16820337827016,6913.811571422666,64.25145983695984
3,8,GY,E,1008.0141295023592,6913.811571422666,64.25145983695984
3,8,GY,GGK,984.7742719681368,6913.811571422666,64.25145983695984
3,8,GY,PGK,19.16758891991414,6913.811571422666,64.25145983695984
3,8,GY,GGKE,57.251860775824085,6913.811571422666,64.25145983695984
3,8,GY,PGKE,17.730981542488667,6913.811571422666,64.25145983695984
3,9,GY,Residual,52.05702426434476,6918.004000037431,67.69684100151062
3,9,GY,E,1369.6197385137032,6918.004000037431,67.69684100151062
3,9,GY,GAK,18058.593018989057,6918.004000037431,67.69684100151062
3,9,GY,PAK,86.11216128745042,6918.004000037431,67.69684100151062
3,9,GY,GAKE,227.23699506926428,6918.004000037431,67.69684100151062
3,9,GY,PAKE,64.3472726712585,6918.004000037431,67.69684100151062
4,1,GY,Residual,42.2944472456771,6849.684629354938,54.73065710067749
4,1,GY,E,1362.3205363829536,6849.684629354938,54.73065710067749
4,1,GY,G,185.4985380478235,6849.684629354938,54.73065710067749
4,1,GY,GE,26.41782915698895,6849.684629354938,54.73065710067749
4,10,GY,Residual,41.156412189439834,6839.341313061099,70.47432684898376
4,10,GY,E,1172.84970838799,6839.341313061099,70.47432684898376
4,10,GY,W,1.4937037639865423,6839.341313061099,70.47432684898376
4,10,GY,G,165.14250542599092,6839.341313061099,70.47432684898376
4,10,GY,GE,18.65451981125349,6839.341313061099,70.47432684898376
4,10,GY,GW,53.22532669133584,6839.341313061099,70.47432684898376
4,11,GY,Residual,55.553511869675276,6969.134424560318,73.43383002281189
4,11,GY,E,2395.2301300193853,6969.134424560318,73.43383002281189
4,11,GY,W,1.4237615042889815,6969.134424560318,73.43383002281189
4,11,GY,P,134420543.4802387,6969.134424560318,73.43383002281189
4,11,GY,PE,140.01227624336326,6969.134424560318,73.43383002281189
4,11,GY,PW,598.9950992894745,6969.134424560318,73.43383002281189
4,12,GY,Residual,41.051059121095406,6818.101776371224,122.95682907104492
4,12,GY,E,1082.1257379096562,6818.101776371224,122.95682907104492
4,12,GY,W,0.9287415474320215,6818.101776371224,122.95682907104492
4,12,GY,G,168.2506130722225,6818.101776371224,122.95682907104492
4,12,GY,P,174.77938747175668,6818.101776371224,122.95682907104492
4,12,GY,GE,14.764836780794212,6818.101776371224,122.95682907104492
4,12,GY,PE,111.1370016224284,6818.101776371224,122.95682907104492
4,12,GY,GW,43.08138178177825,6818.101776371224,122.95682907104492
4,12,GY,PW,263.5779180048376,6818.101776371224,122.95682907104492
4,13,GY,Residual,44.3459785691984,6824.232154017505,48.57218313217163
4,13,GY,E,1177.970985315148,6824.232154017505,48.57218313217163
4,13,GY,W,1.4500375827650296,6824.232154017505,48.57218313217163
4,13,GY,GGK,1050.282181422478,6824.232154017505,48.57218313217163
4,13,GY,GGKE,51.308318562850054,6824.232154017505,48.57218313217163
4,13,GY,GGKW,135.95104235420413,6824.232154017505,48.57218313217163
4,14,GY,Residual,189.4931362373882,8341.589002572346,70.18056201934814
4,14,GY,E,1103.2758956443186,8341.589002572346,70.18056201934814
4,14,GY,W,1.4226014375719782,8341.589002572346,70.18056201934814
4,14,GY,PGK,99.63756744671373,8341.589002572346,70.18056201934814
4,14,GY,PGKE,46.66198229378369,8341.589002572346,70.18056201934814
4,14,GY,PGKW,114.35583717991635,8341.589002572346,70.18056201934814
4,15,GY,Residual,39.81932284835703,6899.286681783848,99.47206592559814
4,15,GY,E,971.1922299416466,6899.286681783848,99.47206592559814
4,15,GY,W,1.1235446187628386,6899.286681783848,99.47206592559814
4,15,GY,GGK,951.7137385361484,6899.286681783848,99.47206592559814
