Model,Trait,Component,AvgVar,MeanDIC,MeanRuntimeSec,TotalVar,Percentage,Model.y,ETA,Category,Description,ComponentLabel
M8,GY,PGKE,17.65721548619119,6907.892482117857,68.33805367946624,2164.0003031539222,0.008159525421718602,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,PGK × E
M8,GY,Residual,41.192981487123625,6907.892482117857,68.33805367946624,2164.0003031539222,0.01903557103346377,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,Residual
M8,KW,E,265.04547383342884,5524.627537797237,121.07188127040862,806.6593689115937,0.32857174173907927,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,Environment (E)
M8,KW,GGK,509.855417740116,5524.627537797237,121.07188127040862,806.6593689115937,0.6320578888559266,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,Genomic Gaussian (GGK)
M8,KW,GGKE,12.191091701182268,5524.627537797237,121.07188127040862,806.6593689115937,0.015113060321398633,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,GGK × E
M8,KW,PGK,5.137323010714442,5524.627537797237,121.07188127040862,806.6593689115937,0.006368639860522676,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,Phenomic Gaussian (PGK)
M8,KW,PGKE,4.393346179071668,5524.627537797237,121.07188127040862,806.6593689115937,0.00544634618822999,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,PGK × E
M8,KW,Residual,10.036716447080426,5524.627537797237,121.07188127040862,806.6593689115937,0.012442323034842736,M8,Eta8,Integrated G/P + E,E + GGK + PGK + GGKE + PGKE,Residual
M9,GY,E,975.2835299081327,6913.651789740192,71.29112806320191,19460.66755983766,0.05011562562842877,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,Environment (E)
M9,GY,GAK,18019.24167346665,6913.651789740192,71.29112806320191,19460.66755983766,0.9259313236846108,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,Genomic arccosine (GAK)
M9,GY,GAKE,241.67164241589174,6913.651789740192,71.29112806320191,19460.66755983766,0.012418466204861667,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,GAK × E
M9,GY,PAK,111.03235894070262,6913.651789740192,71.29112806320191,19460.66755983766,0.005705475344013782,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,Phenomic arccosine (PAK)
M9,GY,PAKE,61.83367026158723,6913.651789740192,71.29112806320191,19460.66755983766,0.0031773663504327926,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,PAK × E
M9,GY,Residual,51.60468484469651,6913.651789740192,71.29112806320191,19460.66755983766,0.0026517427876521925,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,Residual
M9,KW,E,243.44281180962696,5484.244735920516,127.01247086524964,7739.540988802491,0.03145442503138599,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,Environment (E)
M9,KW,GAK,7379.591654416277,5484.244735920516,127.01247086524964,7739.540988802491,0.9534921599476008,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,Genomic arccosine (GAK)
M9,KW,GAKE,43.889509046028316,5484.244735920516,127.01247086524964,7739.540988802491,0.005670815505664654,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,GAK × E
M9,KW,PAK,45.759863308341096,5484.244735920516,127.01247086524964,7739.540988802491,0.005912477674651006,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,Phenomic arccosine (PAK)
